molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50
CHEMBL193655,CC(C)NC(=O)CN1CCN(CCN2C(=O)[C@@H]3Cc4ccccc4CN3C2=O)CC1,100.0,1.0000000000000001e-07,7.0
CHEMBL2023825,c1ccc(C(c2ccc(N3CCN(C4CCCCC4)CC3)cc2)C23CC4CC(CC(C4)C2)C3)cc1,0.27,2.7000000000000005e-10,9.568636235841012
CHEMBL36675,NCCCCCCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1,2100.0,2.1e-06,5.6777807052660805
CHEMBL171181,COc1ccc2c(c1)C(CCCN1CCN(c3ccccn3)CC1)CCC2,125.0,1.2500000000000002e-07,6.903089986991944
CHEMBL538845,COc1ccc(CC(N)CCC(C)C)cc1OCCc1ccccc1.Cl,130.0,1.3e-07,6.886056647693163
CHEMBL521582,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,1.3,1.3e-09,8.886056647693163
CHEMBL142522,c1ccc(C(OCCN2CCNCC2)c2ccccc2)cc1,1480.0,1.48e-06,5.8297382846050425
CHEMBL38708,CCOC(=O)C1CCN(CCCCCCOc2ccc3oc(-c4ccccc4)cc(=O)c3c2)CC1,164.0,1.64e-07,6.785156151952302
CHEMBL91145,N=C(Nc1cccc2ccccc12)N1CCCCC1,1070.0,1.07e-06,5.97061622231479
CHEMBL553896,Cl.N=C(Nc1ccccc1I)NC12CC3CC(CC(C3)C1)C2,6.0,6.000000000000001e-09,8.221848749616356
CHEMBL330551,Cc1cccc(NC(=N)N(C)c2cccc(C)c2)c1,247.0,2.470000000000001e-07,6.607303046740334
CHEMBL539274,C=CCN(CC=C)C1Cc2ccccc2C(c2ccccc2)C1.Cl,26.5,2.65e-08,7.576754126063192
CHEMBL538263,Br.NC1Cc2cc(O)c(O)cc2C(c2ccccc2)C1,10000.0,1e-05,5.0
CHEMBL2093907,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(CC)c2Br)c1.Cl,299.0,2.99e-07,6.52432881167557
CHEMBL324092,Clc1ccc(OCCN2C3CCC2c2c([nH]c4ccccc24)C3)cc1,251.0,2.51e-07,6.600326278518962
CHEMBL90809,CCN(C(=N)Nc1cccc2ccccc12)c1cccc2ccccc12,6130.0,6.130000000000001e-06,5.212539525481585
CHEMBL67665,C/C(=N\c1ccc(Br)cc1C)Nc1ccc(Br)cc1C,26.0,2.6e-08,7.585026652029182
CHEMBL81602,Cc1ccc(NC(=N)Nc2ccc(C)cc2)cc1,535.0,5.350000000000001e-07,6.271646217978772
CHEMBL104945,CN(C)C1Cc2ccccc2C(c2ccccc2)C1,0.5248,5.248000000000001e-10,9.280006173632396
CHEMBL2023823,CN1CCN(c2ccc(C(c3ccccc3)C34CC5CC(CC(C5)C3)C4)cc2)CC1,3.2,3.2e-09,8.494850021680094
CHEMBL556798,CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc3c(c1)OCCO3)CC2.Cl,183.0,1.83e-07,6.73754891026957
CHEMBL323910,Fc1ccc2[nH]c3c(c2c1)C1CCC(C3)N1Cc1ccccc1I,3044.0,3.044e-06,5.516555351901465
CHEMBL164037,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccnc3)CC2)c2ccc(F)cc2)cc1,59.0,5.900000000000001e-08,7.229147988357855
CHEMBL331611,c1ccc(C(CCN2C3CCC2c2c([nH]c4ccccc24)C3)c2ccccc2)cc1,1483.0,1.483e-06,5.828858848971618
CHEMBL115280,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,1250.0,1.25e-06,5.903089986991944
CHEMBL431214,N=C(Nc1cccc2ccccc12)N1CCC(c2ccccc2)CC1,343.0,3.430000000000001e-07,6.464705879957229
CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,398.0,3.9800000000000004e-07,6.400116927926312
CHEMBL553265,Cl.c1ccc2c(c1)CC[C@H]1CN(C3CCCCC3)CC[C@@H]21,0.2512,2.5119999999999997e-10,9.599980364934842
CHEMBL322275,COc1cccc2c1CCCC2CCCN1CCN(c2ccccc2)CC1,198.0,1.98e-07,6.703334809738469
CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1815.0,1.815e-06,5.741123370627869
CHEMBL340541,O=C(CCN1CC=C(c2ccc(Cl)cc2)CC1)c1ccc(Cl)c(Cl)c1,158.0,1.58e-07,6.801342913045577
CHEMBL325168,Fc1ccc2[nH]c3c(c2c1)C1CCC(C3)N1CCCc1cccnc1,44.0,4.4000000000000004e-08,7.356547323513812
CHEMBL39053,O=C1NCN(c2ccccc2)C12CCN(CCCCCCOc1ccc3oc(-c4ccccc4)cc(=O)c3c1)CC2,1200.0,1.2000000000000002e-06,5.920818753952375
CHEMBL38023,COc1ccc(-c2cc(=O)c3cc(OCCCCCN4CCC(O)CC4)ccc3o2)cc1,493.0,4.93e-07,6.30715308072277
CHEMBL540291,Cc1ccccc1/N=C(\N)NC12CC3CC(C)(CC(C)(C3)C1)C2.Cl,15.0,1.5000000000000002e-08,7.823908740944319
CHEMBL2391375,CC(C)(C)CCNC(=O)CN1CCN(C(=O)C2CCCCC2)CC1,21100.0,2.11e-05,4.675717544702307
CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,287.0,2.87e-07,6.542118103266008
CHEMBL2303661,CN(CCc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,2.0,2e-09,8.698970004336019
CHEMBL176941,COc1ccc2c(CCCCN3CCC(C)CC3)cccc2c1,15.5,1.55e-08,7.809668301829708
CHEMBL346389,O=C1COc2cc(CN3CCN(c4ccc(Cl)cc4)CC3)ccc2N1,285.0,2.85e-07,6.54515513999149
CHEMBL542390,CCCN1CCC2=C(CCc3ccccc32)C1.Cl,21.38,2.138e-08,7.669992299127241
CHEMBL193485,O=C1[C@@H]2Cc3ccccc3CN2C(=O)N1CCCN1CCN(CCO)CC1,100.0,1.0000000000000001e-07,7.0
CHEMBL543433,CCc1cccc(NC(=N)Nc2c(Cl)cccc2Cl)c1.Cl,14.4,1.4400000000000002e-08,7.841637507904751
CHEMBL545011,Cl.N=C(NC1CC2CCC1C2)NC1CC2CCC1C2,16.0,1.6e-08,7.795880017344075
