action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,117628,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(CCCc3cccnc3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '15.73', 'le': '0.29', 'lle': '2.38', 'sei': '24.83'}",CHEMBL159608,,CHEMBL159608,7.10,0,http://www.openphacts.org/units/Nanomolar,317785,=,1,1,=,,IC50,nM,,79.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,79.0
,,118887,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccs3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '16.25', 'le': '0.32', 'lle': '1.93', 'sei': '47.02'}",CHEMBL159320,,CHEMBL159320,7.39,0,http://www.openphacts.org/units/Nanomolar,317788,=,1,1,=,,IC50,nM,,41.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,41.0
,,123804,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccnc3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '16.08', 'le': '0.30', 'lle': '2.43', 'sei': '25.28'}",CHEMBL164037,,CHEMBL164037,7.23,0,http://www.openphacts.org/units/Nanomolar,317784,=,1,1,=,,IC50,nM,,59.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,59.0
,,128937,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '16.35', 'le': '0.30', 'lle': '2.05', 'sei': '46.89'}",CHEMBL281594,VANOXERINE,CHEMBL281594,7.37,0,http://www.openphacts.org/units/Nanomolar,317769,=,1,1,=,,IC50,nM,,43.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,43.0
,,128947,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(CCCc3ccco3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '16.36', 'le': '0.31', 'lle': '2.30', 'sei': '24.98'}",CHEMBL159319,,CHEMBL159319,7.21,0,http://www.openphacts.org/units/Nanomolar,317787,=,1,1,=,,IC50,nM,,62.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,62.0
,,134031,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '16.26', 'le': '0.30', 'lle': '1.89', 'sei': '46.42'}",CHEMBL286991,,CHEMBL286991,7.29,0,http://www.openphacts.org/units/Nanomolar,317770,=,1,1,=,,IC50,nM,,51.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,51.0
,,135261,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(CCCc3cccs3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '16.25', 'le': '0.32', 'lle': '2.04', 'sei': '47.23'}",CHEMBL163980,,CHEMBL163980,7.42,0,http://www.openphacts.org/units/Nanomolar,317789,=,1,1,=,,IC50,nM,,38.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,38.0
,,145648,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Nc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '14.25', 'le': '0.30', 'lle': '0.42', 'sei': '14.83'}",CHEMBL607159,,CHEMBL607159,5.28,0,http://www.openphacts.org/units/Nanomolar,197388,=,1,1,=,,IC50,nM,,5303.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,5303.0
,,145651,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)COc1cccc(Cl)c1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '19.14', 'le': '0.40', 'lle': '3.14', 'sei': '22.50'}",CHEMBL607212,,CHEMBL607212,7.38,0,http://www.openphacts.org/units/Nanomolar,197380,=,1,1,=,,IC50,nM,,42.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,42.0
,,146775,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '18.17', 'le': '0.38', 'lle': '2.31', 'sei': '28.50'}",CHEMBL301867,,CHEMBL301867,6.71,0,http://www.openphacts.org/units/Nanomolar,197345,=,1,1,=,,IC50,nM,,194.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,194.0
