action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,707942,[],CHEMBL803930,In vitro binding affinity towards sigma receptor by the displacement of [3H]PPP from guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1cnc(N2CCN(CCCCc3ccc(F)c4ccccc34)CC2)nc1,,,CHEMBL1127947,Bioorg Med Chem Lett,1994.0,"{'bei': '17.44', 'le': '0.33', 'lle': '2.62', 'sei': '20.68'}",CHEMBL61304,,CHEMBL61304,6.67,0,http://www.openphacts.org/units/Nanomolar,100694,=,1,1,=,,IC50,nM,,213.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,213.0
,,709274,[],CHEMBL803930,In vitro binding affinity towards sigma receptor by the displacement of [3H]PPP from guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(CCCCN2CCN(c3ncc(F)cn3)CC2)cc1,,,CHEMBL1127947,Bioorg Med Chem Lett,1994.0,"{'bei': '22.98', 'le': '0.43', 'lle': '4.74', 'sei': '23.68'}",CHEMBL60814,,CHEMBL60814,7.64,0,http://www.openphacts.org/units/Nanomolar,100698,=,1,1,=,,IC50,nM,,23.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,23.0
,,710645,[],CHEMBL803930,In vitro binding affinity towards sigma receptor by the displacement of [3H]PPP from guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,OC(CCCN1CCN(c2ncc(F)cn2)CC1)C1CCCCC1,,,CHEMBL1127947,Bioorg Med Chem Lett,1994.0,"{'bei': '23.54', 'le': '0.45', 'lle': '5.46', 'sei': '15.09'}",CHEMBL57606,,CHEMBL57606,7.92,0,http://www.openphacts.org/units/Nanomolar,100683,=,1,1,=,,IC50,nM,,12.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,12.0
,,711866,[],CHEMBL803930,In vitro binding affinity towards sigma receptor by the displacement of [3H]PPP from guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(SCCCN2CCN(c3ncc(F)cn3)CC2)cc1,,,CHEMBL1127947,Bioorg Med Chem Lett,1994.0,"{'bei': '20.81', 'le': '0.41', 'lle': '4.23', 'sei': '22.61'}",CHEMBL58601,,CHEMBL58601,7.29,0,http://www.openphacts.org/units/Nanomolar,100697,=,1,1,=,,IC50,nM,,51.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,51.0
,,714819,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2c1CCCC2CCCN1CCN(c2ccccc2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '18.39', 'le': '0.34', 'lle': '1.98', 'sei': '42.67'}",CHEMBL322275,,CHEMBL322275,6.70,0,http://www.openphacts.org/units/Nanomolar,343917,=,1,1,=,,IC50,nM,,198.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,198.0
,,716000,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3OC)CC1)CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '18.23', 'le': '0.34', 'lle': '2.46', 'sei': '28.84'}",CHEMBL424125,,CHEMBL424125,7.19,0,http://www.openphacts.org/units/Nanomolar,343930,=,1,1,=,,IC50,nM,,64.1,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,64.1
,,717332,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CC/C=C2\CCCc3ccccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '20.03', 'le': '0.37', 'lle': '2.63', 'sei': '46.21'}",CHEMBL174300,,CHEMBL174300,7.26,0,http://www.openphacts.org/units/Nanomolar,343934,=,1,1,=,,IC50,nM,,55.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,55.0
,,718549,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3cccc(C(F)(F)F)c3)CC1)CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '16.32', 'le': '0.31', 'lle': '1.32', 'sei': '44.93'}",CHEMBL367723,,CHEMBL367723,7.06,0,http://www.openphacts.org/units/Nanomolar,343914,=,1,1,=,,IC50,nM,,87.5,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,87.5
,Not Tested,722891,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2c1CCC=C2CCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL171974,,CHEMBL171974,,0,,343915,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,Not Tested,724082,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(NCCN1CCN(c3ccccc3OC)CC1)CCC2,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL425134,,CHEMBL425134,,0,,343935,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,725272,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCCN1CCN(c3ccccc3OC)CC1)CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '17.21', 'le': '0.32', 'lle': '1.91', 'sei': '28.20'}",CHEMBL172363,,CHEMBL172363,7.03,0,http://www.openphacts.org/units/Nanomolar,343912,=,1,1,=,,IC50,nM,,92.8,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,92.8
,,725280,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3ccccn3)CC1)CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '18.89', 'le': '0.35', 'lle': '2.79', 'sei': '24.14'}",CHEMBL171181,,CHEMBL171181,6.90,0,http://www.openphacts.org/units/Nanomolar,343922,=,1,1,=,,IC50,nM,,125.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,125.0
,Not Tested,726558,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCCC2CCCc3ccccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL368477,,CHEMBL368477,,0,,343903,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,726565,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2c1CCC=C2CCCN1CCN(c2ccccc2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '20.04', 'le': '0.37', 'lle': '2.63', 'sei': '46.24'}",CHEMBL148055,,CHEMBL148055,7.26,0,http://www.openphacts.org/units/Nanomolar,343919,=,1,1,=,,IC50,nM,,54.4,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,54.4
,,728999,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2c1CCCC2CCCN1CCN(c2ccccn2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '19.62', 'le': '0.36', 'lle': '3.06', 'sei': '25.07'}",CHEMBL444590,,CHEMBL444590,7.17,0,http://www.openphacts.org/units/Nanomolar,343921,=,1,1,=,,IC50,nM,,67.5,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,67.5
,,730148,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCNC2CCCc3c(OC)cccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '17.24', 'le': '0.32', 'lle': '3.33', 'sei': '18.45'}",CHEMBL108241,,CHEMBL108241,6.82,0,http://www.openphacts.org/units/Nanomolar,343910,=,1,1,=,,IC50,nM,,151.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,151.0
,,731294,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '21.95', 'le': '0.43', 'lle': '3.82', 'sei': '20.35'}",CHEMBL54,HALOPERIDOL,CHEMBL54,8.25,0,http://www.openphacts.org/units/Nanomolar,343925,=,1,1,=,,IC50,nM,,5.64,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,5.64
,Not Tested,732461,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCCCC2CCCc3c(OC)cccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL28209,,CHEMBL28209,,0,,343911,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,733550,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(SCCN1CCN(c3ccccc3OC)CC1)CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '16.63', 'le': '0.32', 'lle': '2.22', 'sei': '27.51'}",CHEMBL172556,,CHEMBL172556,6.86,0,http://www.openphacts.org/units/Nanomolar,343909,=,1,1,=,,IC50,nM,,138.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,138.0
,Not Tested,736169,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCCCC2=CCCc3c(OC)cccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL174554,,CHEMBL174554,,0,,343931,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,736176,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2c1CCC=C2CCCN1CCN(c2ccccn2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '20.04', 'le': '0.37', 'lle': '3.26', 'sei': '25.47'}",CHEMBL175300,,CHEMBL175300,7.28,0,http://www.openphacts.org/units/Nanomolar,343906,=,1,1,=,,IC50,nM,,52.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,52.0
,,736184,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2c1CCC/C2=C\CCN1CCN(c2ccccn2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '19.27', 'le': '0.35', 'lle': '2.98', 'sei': '24.49'}",CHEMBL140406,,CHEMBL140406,7.00,0,http://www.openphacts.org/units/Nanomolar,343905,=,1,1,=,,IC50,nM,,99.1,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,99.1
,,738846,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCCN1CCN(c3ccccc3OC)CC1)=CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '17.89', 'le': '0.33', 'lle': '2.24', 'sei': '29.16'}",CHEMBL366459,,CHEMBL366459,7.27,0,http://www.openphacts.org/units/Nanomolar,343902,=,1,1,=,,IC50,nM,,53.5,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,53.5
,Not Tested,738854,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3cccc(C(F)(F)F)c3)CC1)=CCC2,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL433972,,CHEMBL433972,,0,,343916,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,742803,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCCC2=CCCc3c(OC)cccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '19.06', 'le': '0.35', 'lle': '2.84', 'sei': '30.00'}",CHEMBL172161,,CHEMBL172161,7.48,0,http://www.openphacts.org/units/Nanomolar,343933,=,1,1,=,,IC50,nM,,33.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,33.0
,Not Tested,742811,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2c1CCCC2CCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL176819,,CHEMBL176819,,0,,343929,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,742818,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '17.07', 'le': '0.32', 'lle': '4.49', 'sei': '9.45'}",CHEMBL49,BUSPIRONE,CHEMBL49,6.58,0,http://www.openphacts.org/units/Nanomolar,343928,=,1,1,=,,IC50,nM,,263.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,263.0
,,744177,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3OC)CC1)=CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '16.92', 'le': '0.31', 'lle': '2.00', 'sei': '26.63'}",CHEMBL367435,,CHEMBL367435,6.64,0,http://www.openphacts.org/units/Nanomolar,343901,=,1,1,=,,IC50,nM,,228.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,228.0
,Not Tested,744185,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCSC2CCCc3c(OC)cccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL174703,,CHEMBL174703,,0,,343908,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,747995,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3ccccn3)CC1)=CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '18.18', 'le': '0.33', 'lle': '2.59', 'sei': '23.11'}",CHEMBL277302,,CHEMBL277302,6.61,0,http://www.openphacts.org/units/Nanomolar,343907,=,1,1,=,,IC50,nM,,246.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,246.0
,,748003,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3)CC1)=CCC2,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '18.65', 'le': '0.34', 'lle': '2.13', 'sei': '43.04'}",CHEMBL143110,,CHEMBL143110,6.76,0,http://www.openphacts.org/units/Nanomolar,343920,=,1,1,=,,IC50,nM,,173.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,173.0
,Not Tested,748011,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3)CC1)CCC2,,,CHEMBL1128270,J Med Chem,1995.0,,CHEMBL172601,,CHEMBL172601,,0,,343918,,1,0,,,IC50,,,,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,,,,
,,750445,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCCC2CCCc3c(OC)cccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '18.31', 'le': '0.34', 'lle': '2.49', 'sei': '28.96'}",CHEMBL26929,,CHEMBL26929,7.22,0,http://www.openphacts.org/units/Nanomolar,343904,=,1,1,=,,IC50,nM,,59.9,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,59.9
,,750453,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CCCC2CCCc3ccsc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '21.62', 'le': '0.42', 'lle': '3.23', 'sei': '51.01'}",CHEMBL174083,,CHEMBL174083,8.01,0,http://www.openphacts.org/units/Nanomolar,343913,=,1,1,=,,IC50,nM,,9.7,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,9.7
,,751694,[],CHEMBL804882,In vitro binding affinity measured on sigma opioid receptor using [3H]DTG as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1N1CCN(CC/C=C2\CCCc3c(OC)cccc32)CC1,,,CHEMBL1128270,J Med Chem,1995.0,"{'bei': '18.55', 'le': '0.34', 'lle': '2.64', 'sei': '29.20'}",CHEMBL173190,,CHEMBL173190,7.28,0,http://www.openphacts.org/units/Nanomolar,343932,=,1,1,=,,IC50,nM,,52.2,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,52.2
,,754152,[],CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2)oc2ccc(OCCCCCCN3CCC(n4c(O)nc5ccccc54)CC3)cc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '11.96', 'le': '0.22', 'lle': '-0.36', 'sei': '7.97'}",CHEMBL288623,,CHEMBL288623,6.43,0,http://www.openphacts.org/units/Nanomolar,60725,=,1,1,=,,IC50,nM,,369.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,369.0
,,754153,[],CHEMBL809884,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2)oc2ccc(OCCCCCCN3CCC(n4c(O)nc5ccccc54)CC3)cc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '12.01', 'le': '0.22', 'lle': '-0.33', 'sei': '8.00'}",CHEMBL288623,,CHEMBL288623,6.46,0,http://www.openphacts.org/units/Nanomolar,60725,=,1,1,=,,IC50,nM,,347.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,347.0
,,754155,[],CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2Cl)oc2ccc(OCCCCCCN3CCC(O)CC3)cc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '16.07', 'le': '0.31', 'lle': '1.82', 'sei': '11.65'}",CHEMBL289767,,CHEMBL289767,7.33,0,http://www.openphacts.org/units/Nanomolar,60723,=,1,1,=,,IC50,nM,,47.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,47.0
,,754156,[],CHEMBL809884,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2Cl)oc2ccc(OCCCCCCN3CCC(O)CC3)cc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '16.53', 'le': '0.32', 'lle': '2.03', 'sei': '11.98'}",CHEMBL289767,,CHEMBL289767,7.54,0,http://www.openphacts.org/units/Nanomolar,60723,=,1,1,=,,IC50,nM,,29.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,29.0
,,754268,[],CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCCCCCCCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '16.88', 'le': '0.31', 'lle': '0.90', 'sei': '15.57'}",CHEMBL286353,,CHEMBL286353,6.64,0,http://www.openphacts.org/units/Nanomolar,60775,=,1,1,=,,IC50,nM,,227.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,227.0
,,754269,[],CHEMBL809884,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCCCCCCCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '17.39', 'le': '0.32', 'lle': '1.10', 'sei': '16.04'}",CHEMBL286353,,CHEMBL286353,6.84,0,http://www.openphacts.org/units/Nanomolar,60775,=,1,1,=,,IC50,nM,,143.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,143.0
,,754271,[],CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2)oc2ccc(OCCCCN3CCC(O)CC3)cc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '16.45', 'le': '0.30', 'lle': '2.39', 'sei': '10.29'}",CHEMBL37508,,CHEMBL37508,6.47,0,http://www.openphacts.org/units/Nanomolar,60771,=,1,1,=,,IC50,nM,,337.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,337.0
,,754272,[],CHEMBL809884,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2)oc2ccc(OCCCCN3CCC(O)CC3)cc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '16.72', 'le': '0.31', 'lle': '2.50', 'sei': '10.46'}",CHEMBL37508,,CHEMBL37508,6.58,0,http://www.openphacts.org/units/Nanomolar,60771,=,1,1,=,,IC50,nM,,263.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,263.0
,,754274,[],CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2)oc2cc(OCCCCN3CCC(O)CC3)ccc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '19.01', 'le': '0.35', 'lle': '3.40', 'sei': '11.89'}",CHEMBL288933,,CHEMBL288933,7.48,0,http://www.openphacts.org/units/Nanomolar,60784,=,1,1,=,,IC50,nM,,33.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,33.0
,,754275,[],CHEMBL809884,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2)oc2cc(OCCCCN3CCC(O)CC3)ccc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '18.14', 'le': '0.34', 'lle': '3.06', 'sei': '11.34'}",CHEMBL288933,,CHEMBL288933,7.14,0,http://www.openphacts.org/units/Nanomolar,60784,=,1,1,=,,IC50,nM,,73.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,73.0
,,755926,[],CHEMBL846480,Binding affinity against sigma receptor in bovine cerebellum using 2.0 nM [3H]haloperidol in the presence of 25 nM unlabeled spiperone,B,,,BAO_0000190,BAO_0000221,tissue-based format,O=C(CCN1CC=C(c2ccc(Cl)cc2)CC1)c1ccc2c(c1)OCO2,,,CHEMBL1126928,J Med Chem,1993.0,"{'bei': '17.71', 'le': '0.34', 'lle': '2.12', 'sei': '16.90'}",CHEMBL340532,,CHEMBL340532,6.55,0,http://www.openphacts.org/units/Nanomolar,244071,=,1,1,=,,IC50,nM,,281.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,281.0
,,756315,[],CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2)oc2ccc(OCCCCCCN3CCOCC3)cc12,,,CHEMBL1125448,J Med Chem,1992.0,"{'bei': '15.08', 'le': '0.28', 'lle': '1.42', 'sei': '11.84'}",CHEMBL38322,,CHEMBL38322,6.15,0,http://www.openphacts.org/units/Nanomolar,60748,=,1,1,=,,IC50,nM,,713.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,713.0
