molecule_chembl_id,canonical_smiles,standard_value
CHEMBL607391,CN(C(=O)Cc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,1155.0
CHEMBL607156,CN(C(=O)OCc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,928.0
CHEMBL607390,CN(C(=O)Cc1ccc(Cl)cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,224.0
CHEMBL545212,C=CCCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,1.738
CHEMBL555890,Cl.c1ccc2c(c1)CCCC1CN(C3CCCCC3)CCC21,1.413
CHEMBL539260,Cl.c1ccc(CCCN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,4.266
CHEMBL555401,CCCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,2.57
CHEMBL541052,COc1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1.Cl,1.995
CHEMBL545447,Cl.O=[N+]([O-])c1ccc(CCN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,3.467
CHEMBL545448,CN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,338.84
CHEMBL545689,Cl.c1coc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)c1,6.607
CHEMBL2093875,COc1ccc2c(c1)[C@H]1CCN(C)C[C@@H]1CC2.Cl,338.84
CHEMBL555398,Cl.Clc1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,4.677
CHEMBL2093876,CN1CC[C@@H]2c3ccccc3CC[C@H]2C1.Cl,446.68
CHEMBL555581,CCCCN1CCC2c3ccccc3CCCC2C1.Cl,2.138
CHEMBL539504,COc1ccc2c(c1)C1=C(CC2)CN(C)CC1.Cl,3467.37
CHEMBL545217,CCCCN1CCC2=C(CCCc3ccccc32)C1.Cl,3.981
CHEMBL542390,CCCN1CCC2=C(CCc3ccccc32)C1.Cl,21.38
CHEMBL555418,COc1ccc2c(c1)[C@@H]1CCN(C)C[C@@H]1CC2.Cl,1174.9
CHEMBL540274,Cl.c1ccc(CCN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,0.3236
CHEMBL553561,Cl.c1ccc2c(c1)CC[C@H]1CN(C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)CC[C@@H]21,2.291
CHEMBL545687,CCCCN1CCC2c3ccccc3CC2C1.Cl,10.96
CHEMBL554388,Cl.c1csc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)c1,7.079
CHEMBL544282,CCCCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,6.31
CHEMBL544280,CC(C)(C)c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1.Cl,97.72
CHEMBL544747,Cl.O=[N+]([O-])c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,8.71
CHEMBL544987,Cl.c1ccc2c(c1)CC[C@H]1CN(C3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)CC[C@@H]21,2.188
CHEMBL543101,C=CCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,4.571
CHEMBL544281,CC(C)=CCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,1.175
CHEMBL541299,CCCCN1CCC2=C(CCc3ccccc32)C1.Cl,7.586
CHEMBL545688,CCCCN1CCC2=C(Cc3ccccc32)C1.Cl,1.862
CHEMBL543810,Cl.c1ccc2c(c1)CC[C@H]1CN(CC3CC3)CC[C@@H]21,2.455
CHEMBL553265,Cl.c1ccc2c(c1)CC[C@H]1CN(C3CCCCC3)CC[C@@H]21,0.2512
CHEMBL554988,Cl.c1ccc(CCN2CCC3=C(CCc4ccccc43)C2)cc1,16.6
CHEMBL544748,CCCCN1CC[C@H]2c3cc(C)cc(C)c3CC[C@H]2C1.Cl,2.042
CHEMBL542387,Cl.c1ccc2c(c1)CC[C@H]1CN(Cc3ccc4ccccc4c3)CC[C@@H]21,81.28
CHEMBL545682,Cl.c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,1.82
CHEMBL542140,Cl.c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)nc1,16.6
CHEMBL2093874,CCCCN1CC[C@@H]2c3ccccc3CC[C@H]2C1.Cl,3.09
CHEMBL542786,CCCNCCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,34.0
CHEMBL341003,CCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,9.5
CHEMBL1744017,CCCCN1CCC2(CCc3ccccc32)CC1.Cl,2.042
